Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
1.640452, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.640452, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.640452, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.640185, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.640185, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.640185, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.640185, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639881, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639881, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639881, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639745, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639745, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639745, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.639745, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.4)
1.63964, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.63964, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.63964, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639939, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639939, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639874, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639874, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639874, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639973, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639973, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639973, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.639973, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.640019, (341.3, 11.7, 0.0), (344.8, 13.9, 0.0), (0.0, 0.0, 0.0), (-3.6, -4.4, 354.3)
1.638953, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.638953, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.638953, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.639008, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.639008, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.639008, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.638931, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.638931, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.638931, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.638931, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.4)
1.639096, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.639096, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.639096, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638839, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638839, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638839, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638594, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638594, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638594, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638594, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638363, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638363, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638363, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638234, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638234, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638234, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638234, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638046, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638046, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.638046, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.637855, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.637855, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.3)
1.637659, (341.2, 11.5, 0.0), (344.4, 14.3, 0.0), (0.0, 0.0, 0.0), (-3.4, -5.1, 354.2)
