Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
2.01195, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.012093, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.012093, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.012093, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.012093, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.012093, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.013671, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.4), (0.0, 0.0, 0.0)
2.013671, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.4), (0.0, 0.0, 0.0)
2.013795, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.4), (0.0, 0.0, 0.0)
2.013795, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.4), (0.0, 0.0, 0.0)
2.013795, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.4), (0.0, 0.0, 0.0)
2.013795, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.4), (0.0, 0.0, 0.0)
2.013801, (354.8, 3.1, 0.0), (353.6, 356.3, 0.0), (-1.2, 355.1, 355.3), (0.0, 0.0, 0.0)
2.01966, (354.9, 2.8, 0.0), (353.9, 356.4, 0.0), (-1.1, 355.4, 355.3), (0.0, 0.0, 0.0)
2.01966, (354.9, 2.8, 0.0), (353.9, 356.4, 0.0), (-1.1, 355.4, 355.3), (0.0, 0.0, 0.0)
